round, cid, loss, accuracy, decyfer_time
1, 2, 1.4835113286972046, 0.6359999775886536, 0.07367348670959473
1, 5, 1.4741368293762207, 0.6340000033378601, 0.07168745994567871
1, 8, 1.4676353931427002, 0.6359999775886536, 0.07386136054992676
1, 0, 1.4626303911209106, 0.6489999890327454, 0.06303715705871582
1, 9, 1.4660475254058838, 0.6380000114440918, 0.06757497787475586
1, 6, 1.4499480724334717, 0.6639999747276306, 0.06889724731445312
1, 1, 1.4626200199127197, 0.6460000276565552, 0.0695500373840332
1, 3, 1.478993535041809, 0.6200000047683716, 0.07570791244506836
1, 7, 1.4454048871994019, 0.6539999842643738, 0.08111286163330078
1, 4, 1.4295241832733154, 0.6759999990463257, 0.07950043678283691
2, 8, 0.36700934171676636, 0.9010000228881836, 0.07576560974121094
2, 3, 0.3238086402416229, 0.9039999842643738, 0.08955192565917969
2, 7, 0.3297816514968872, 0.906000018119812, 0.08585214614868164
2, 6, 0.31331971287727356, 0.9020000100135803, 0.07737898826599121
2, 2, 0.3670196533203125, 0.8949999809265137, 0.07376289367675781
2, 0, 0.3318732976913452, 0.902999997138977, 0.05539298057556152
2, 5, 0.32272419333457947, 0.9129999876022339, 0.07947349548339844
2, 1, 0.34276077151298523, 0.8930000066757202, 0.06742238998413086
2, 9, 0.3150404989719391, 0.902999997138977, 0.06835579872131348
2, 4, 0.2750343084335327, 0.9160000085830688, 0.06609010696411133
3, 5, 0.27408504486083984, 0.9229999780654907, 0.06751632690429688
3, 1, 0.2687798738479614, 0.9229999780654907, 0.0837867259979248
3, 3, 0.2426081895828247, 0.9279999732971191, 0.08363509178161621
3, 6, 0.2379569411277771, 0.9269999861717224, 0.08205604553222656
3, 8, 0.29827332496643066, 0.9160000085830688, 0.07513713836669922
3, 2, 0.28370389342308044, 0.9150000214576721, 0.07642078399658203
3, 9, 0.24848023056983948, 0.925000011920929, 0.0690310001373291
3, 4, 0.19756169617176056, 0.9409999847412109, 0.06246328353881836
3, 7, 0.2502419948577881, 0.9319999814033508, 0.07366538047790527
3, 0, 0.25575757026672363, 0.9279999732971191, 0.06044459342956543
4, 0, 0.21616020798683167, 0.9369999766349792, 0.07880306243896484
4, 3, 0.2095841020345688, 0.9390000104904175, 0.07210350036621094
4, 9, 0.2135934680700302, 0.9300000071525574, 0.08760333061218262
4, 8, 0.2591058015823364, 0.9229999780654907, 0.08298635482788086
4, 4, 0.16303123533725739, 0.9490000009536743, 0.08600044250488281
