round, cid, loss, accuracy, decyfer_time
1, 9, 0.9558997750282288, 0.6050000190734863, 0.0029006004333496094
1, 6, 0.9672633409500122, 0.5929999947547913, 0.002966165542602539
1, 0, 0.956595778465271, 0.6019999980926514, 0.007523059844970703
1, 7, 0.9758625030517578, 0.5950000286102295, 0.009583473205566406
1, 3, 1.0331546068191528, 0.5849999785423279, 0.009357929229736328
1, 4, 0.9817718267440796, 0.5920000076293945, 0.008290767669677734
1, 8, 0.9727127552032471, 0.5910000205039978, 0.009163379669189453
1, 5, 0.9581382870674133, 0.5950000286102295, 0.009296417236328125
1, 2, 0.9817870259284973, 0.6039999723434448, 0.007433414459228516
1, 1, 0.9797094464302063, 0.6029999852180481, 0.009311914443969727
2, 2, 0.705361545085907, 0.7239999771118164, 0.0024073123931884766
2, 6, 0.6862865090370178, 0.7400000095367432, 0.00595545768737793
2, 0, 0.6600179076194763, 0.7440000176429749, 0.002758026123046875
2, 4, 0.6128886938095093, 0.7590000033378601, 0.002710103988647461
2, 3, 0.7078996300697327, 0.7200000286102295, 0.0028867721557617188
2, 8, 0.6903652548789978, 0.7269999980926514, 0.0035622119903564453
2, 9, 0.6782289743423462, 0.7260000109672546, 0.003479480743408203
2, 1, 0.6955140829086304, 0.7300000190734863, 0.0029489994049072266
2, 7, 0.6616852283477783, 0.7369999885559082, 0.0032062530517578125
2, 5, 0.6790446043014526, 0.7229999899864197, 0.0020172595977783203
3, 8, 0.5420869588851929, 0.8050000071525574, 0.002391338348388672
3, 5, 0.5654587149620056, 0.7760000228881836, 0.0028944015502929688
3, 7, 0.5241031646728516, 0.8209999799728394, 0.0029752254486083984
3, 9, 0.5416192412376404, 0.7919999957084656, 0.00360870361328125
3, 4, 0.515396773815155, 0.8140000104904175, 0.0035789012908935547
3, 1, 0.5687284469604492, 0.777999997138977, 0.002861499786376953
3, 6, 0.5540481209754944, 0.8029999732971191, 0.002897977828979492
3, 0, 0.530023992061615, 0.8009999990463257, 0.002330303192138672
3, 3, 0.5786304473876953, 0.781000018119812, 0.0023784637451171875
3, 2, 0.5663583278656006, 0.7940000295639038, 0.003063678741455078
4, 7, 0.48357126116752625, 0.8199999928474426, 0.002384662628173828
4, 9, 0.4956014156341553, 0.8059999942779541, 0.0031294822692871094
