round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 9, 0.793214738368988, 0.7319512367248535, 547800, 1.817413568496704, 0, 0
1, 6, 0.8882558941841125, 0.6757532358169556, 547800, 1.905980110168457, 0, 0
2, 8, 0.8317021131515503, 0.6505534052848816, 547800, 2.352071523666382, 0, 0
2, 5, 0.5403507351875305, 0.7905911803245544, 547800, 2.621155261993408, 0, 0
2, 3, 0.39720582962036133, 0.8685215711593628, 547800, 2.713862419128418, 0, 0
2, 1, 0.5258155465126038, 0.8026503920555115, 547800, 3.0594959259033203, 0, 0
2, 2, 0.5882241725921631, 0.7809501886367798, 547800, 3.2073397636413574, 0, 0
3, 8, 0.7270417809486389, 0.7058956623077393, 547800, 1.5024261474609375, 0, 0
3, 3, 0.33453813195228577, 0.8845244646072388, 547800, 1.7904040813446045, 0, 0
3, 9, 0.4625048041343689, 0.838516116142273, 547800, 1.8017446994781494, 0, 0
3, 7, 0.509989321231842, 0.810847282409668, 547800, 2.1524972915649414, 0, 0
3, 1, 0.46782854199409485, 0.8311030268669128, 547800, 2.166346549987793, 0, 0
4, 5, 0.42593446373939514, 0.8432556390762329, 547800, 1.533266544342041, 0, 0
4, 9, 0.43259912729263306, 0.8503364324569702, 547800, 1.6747734546661377, 0, 0
4, 6, 0.526440441608429, 0.8141240477561951, 547800, 2.1816623210906982, 0, 0
4, 1, 0.4275694489479065, 0.8414967060089111, 547800, 2.239534854888916, 0, 0
4, 4, 0.2617477774620056, 0.9072487354278564, 547800, 2.791832447052002, 0, 0
5, 8, 0.6539469957351685, 0.7458775639533997, 547800, 1.7792186737060547, 0, 0
5, 5, 0.38263750076293945, 0.8653205633163452, 547800, 1.8752014636993408, 0, 0
5, 3, 0.2934221923351288, 0.8997999429702759, 547800, 2.040403366088867, 0, 0
5, 4, 0.24154192209243774, 0.912688672542572, 547800, 2.381885290145874, 0, 0
5, 1, 0.40789952874183655, 0.8498116135597229, 547800, 2.4188315868377686, 0, 0
6, 5, 0.36498934030532837, 0.8667776584625244, 547800, 1.587733268737793, 0, 0
6, 3, 0.26905789971351624, 0.9098017811775208, 547800, 1.8295180797576904, 0, 0
6, 9, 0.39357081055641174, 0.8583378791809082, 547800, 1.836334466934204, 0, 0
6, 6, 0.47549065947532654, 0.8370795249938965, 547800, 1.9165573120117188, 0, 0
6, 0, 0.390927255153656, 0.8584797382354736, 547800, 2.3425281047821045, 0, 0
7, 8, 0.6089519262313843, 0.7587531208992004, 547800, 1.65673828125, 0, 0
7, 9, 0.3716539144515991, 0.8685215711593628, 547800, 2.014908790588379, 0, 0
7, 6, 0.4481336772441864, 0.8423401713371277, 547800, 2.133749485015869, 0, 0
7, 4, 0.21729086339473724, 0.9228886365890503, 547800, 2.3462564945220947, 0, 0
7, 2, 0.427700012922287, 0.8452202081680298, 547800, 2.4950084686279297, 0, 0
8, 7, 0.37950825691223145, 0.8613060116767883, 547800, 1.368882179260254, 0, 0
8, 8, 0.5896795988082886, 0.7684662342071533, 547800, 1.6041052341461182, 0, 0
8, 5, 0.33471810817718506, 0.8817651867866516, 547800, 1.6765720844268799, 0, 0
8, 6, 0.4462365508079529, 0.8448907732963562, 547800, 1.9661400318145752, 0, 0
8, 0, 0.36010462045669556, 0.873583972454071, 547800, 2.06411075592041, 0, 0
9, 5, 0.31397098302841187, 0.8880099654197693, 547800, 1.8383607864379883, 0, 0
9, 3, 0.24983462691307068, 0.9174395203590393, 547800, 2.096141815185547, 0, 0
9, 9, 0.35417285561561584, 0.8736133575439453, 547800, 2.108604907989502, 0, 0
9, 0, 0.34123075008392334, 0.8762108087539673, 547800, 2.198183298110962, 0, 0
9, 4, 0.1982131004333496, 0.9281925559043884, 547800, 2.3620073795318604, 0, 0
10, 7, 0.3584009110927582, 0.8685914874076843, 547800, 1.4747521877288818, 0, 0
10, 3, 0.23528416454792023, 0.9234406352043152, 547800, 2.022698402404785, 0, 0
10, 9, 0.3394809067249298, 0.883069634437561, 547800, 2.0802316665649414, 0, 0
10, 0, 0.3373495638370514, 0.8799868822097778, 547800, 2.154893636703491, 0, 0
10, 4, 0.18925492465496063, 0.9313205480575562, 547800, 2.298565149307251, 0, 0
11, 8, 0.558863639831543, 0.7799864411354065, 547800, 1.6888689994812012, 0, 0
11, 3, 0.22095681726932526, 0.9236224889755249, 547800, 2.0070433616638184, 0, 0
11, 6, 0.41145622730255127, 0.8571656346321106, 547800, 2.1561949253082275, 0, 0
11, 4, 0.17743925750255585, 0.9373044967651367, 547800, 2.3550093173980713, 0, 0
11, 1, 0.356917142868042, 0.8690398931503296, 547800, 2.3921642303466797, 0, 0
12, 5, 0.29806992411613464, 0.8930058479309082, 547800, 1.752394199371338, 0, 0
12, 3, 0.2186409831047058, 0.9279869198799133, 547800, 1.9231371879577637, 0, 0
12, 6, 0.39908578991889954, 0.8619480133056641, 547800, 2.0388853549957275, 0, 0
12, 1, 0.3378303050994873, 0.8756658434867859, 547800, 2.196871042251587, 0, 0
12, 8, 0.5474753975868225, 0.7845041751861572, 547800, 2.6257054805755615, 0, 0
13, 7, 0.3407220244407654, 0.8715596199035645, 547800, 1.3394896984100342, 0, 0
13, 8, 0.533062219619751, 0.7851818203926086, 547800, 1.6024184226989746, 0, 0
13, 3, 0.21421431005001068, 0.9272595047950745, 547800, 1.8500733375549316, 0, 0
13, 9, 0.31871700286865234, 0.8868885040283203, 547800, 1.8593616485595703, 0, 0
