round, cid, loss, accuracy, decyfer_time
1, 0, 0.3794308304786682, 0.895799994468689, 0.49248266220092773
2, 0, 0.3155636191368103, 0.9107999801635742, 0.4910752773284912
3, 0, 0.2926647365093231, 0.9165999889373779, 0.7891087532043457
4, 0, 0.28216004371643066, 0.9200000166893005, 0.49124622344970703
5, 0, 0.2806992530822754, 0.9190000295639038, 0.5599279403686523
6, 0, 0.2738206088542938, 0.9225999712944031, 0.6228022575378418
7, 0, 0.26978304982185364, 0.9233999848365784, 0.48593950271606445
8, 0, 0.2686334550380707, 0.9232000112533569, 0.4859812259674072
9, 0, 0.2657695412635803, 0.925599992275238, 0.4940176010131836
