round, cid, loss, accuracy, decyfer_time
1, 0, 2.3447067737579346, 0.08399999886751175, 16.887817859649658
1, 6, 2.340395927429199, 0.08900000154972076, 17.08364701271057
1, 1, 2.3189964294433594, 0.0989999994635582, 16.96296715736389
1, 5, 2.309129476547241, 0.10199999809265137, 17.0726375579834
1, 9, 2.345475435256958, 0.09200000017881393, 17.053169012069702
1, 3, 2.326550006866455, 0.09799999743700027, 17.0832576751709
1, 8, 2.3396663665771484, 0.10000000149011612, 17.12356448173523
1, 4, 2.3344969749450684, 0.10100000351667404, 17.121646881103516
1, 7, 2.3251912593841553, 0.10199999809265137, 17.18526268005371
2, 1, 2.3365249633789062, 0.28200000524520874, 16.876365900039673
2, 4, 2.2617475986480713, 0.30300000309944153, 16.99573802947998
2, 2, 2.301647186279297, 0.29899999499320984, 17.0169620513916
2, 5, 2.2897284030914307, 0.29100000858306885, 17.145533561706543
2, 8, 2.3291664123535156, 0.2879999876022339, 17.161874294281006
2, 7, 2.2754948139190674, 0.3240000009536743, 17.180214643478394
2, 0, 2.2739129066467285, 0.3019999861717224, 17.107996463775635
2, 3, 2.3288967609405518, 0.2770000100135803, 17.244969606399536
2, 6, 2.36386775970459, 0.28299999237060547, 17.42060661315918
2, 9, 2.3297910690307617, 0.27799999713897705, 17.36845088005066
3, 1, 1.8566471338272095, 0.5249999761581421, 16.81270933151245
3, 7, 1.9014146327972412, 0.5270000100135803, 16.99620223045349
3, 9, 1.8262120485305786, 0.5379999876022339, 17.013840675354004
3, 0, 1.7822890281677246, 0.5460000038146973, 17.12985062599182
3, 3, 1.8479279279708862, 0.5270000100135803, 17.146945476531982
3, 4, 1.8996851444244385, 0.5220000147819519, 17.098287343978882
3, 6, 1.9590507745742798, 0.5109999775886536, 17.207402229309082
3, 8, 1.9075570106506348, 0.5139999985694885, 17.120375871658325
3, 2, 1.8338673114776611, 0.5450000166893005, 17.27738094329834
3, 5, 1.8522948026657104, 0.515999972820282, 19.009788036346436
4, 3, 1.1103336811065674, 0.6399999856948853, 16.730676651000977
4, 5, 1.07217538356781, 0.6340000033378601, 16.88748550415039
4, 0, 1.1279940605163574, 0.6100000143051147, 16.94498872756958
4, 2, 1.227574348449707, 0.5899999737739563, 16.964349508285522
4, 7, 1.1781220436096191, 0.609000027179718, 16.969184637069702
4, 4, 1.1749004125595093, 0.6060000061988831, 16.969286918640137
4, 8, 1.2360056638717651, 0.5950000286102295, 17.050718784332275
4, 1, 1.1873918771743774, 0.6010000109672546, 17.045966863632202
4, 9, 1.2194794416427612, 0.5920000076293945, 16.97163987159729
4, 6, 1.215172290802002, 0.6069999933242798, 17.098240613937378
5, 3, 1.3535630702972412, 0.550000011920929, 16.90976619720459
5, 0, 1.2443991899490356, 0.5910000205039978, 16.89688229560852
5, 2, 1.2952266931533813, 0.5669999718666077, 16.895113706588745
5, 1, 1.332269549369812, 0.5659999847412109, 16.910972595214844
5, 9, 1.2546803951263428, 0.5709999799728394, 16.916255474090576
