round, cid, loss, accuracy, decyfer_time
1, 0, 0.7674875259399414, 0.8209999799728394, 0.01820087432861328
2, 0, 0.3906562328338623, 0.8802000284194946, 0.006189584732055664
3, 0, 0.33796387910842896, 0.8970000147819519, 0.004645347595214844
4, 0, 0.36416095495224, 0.885200023651123, 0.0051610469818115234
5, 0, 0.37134850025177, 0.8858000040054321, 0.005020618438720703
6, 0, 0.3533543348312378, 0.8885999917984009, 0.006513357162475586
7, 0, 0.3440890610218048, 0.8920000195503235, 0.0059549808502197266
8, 0, 0.3462686240673065, 0.8917999863624573, 0.005301713943481445
9, 0, 0.34637948870658875, 0.892799973487854, 0.005719661712646484
10, 0, 0.34568145871162415, 0.8935999870300293, 0.0057523250579833984
11, 0, 0.5888346433639526, 0.8303999900817871, 0.0067195892333984375
12, 0, 0.33337950706481934, 0.9043999910354614, 0.005596160888671875
13, 0, 0.33191558718681335, 0.901199996471405, 0.005221128463745117
14, 0, 0.368653804063797, 0.8862000107765198, 0.005006313323974609
15, 0, 0.33769479393959045, 0.8998000025749207, 0.005502223968505859
16, 0, 0.3422714173793793, 0.8980000019073486, 0.0052089691162109375
17, 0, 0.3298729360103607, 0.9034000039100647, 0.005696773529052734
18, 0, 0.3731587827205658, 0.88919997215271, 0.004685401916503906
19, 0, 0.3616010248661041, 0.8934000134468079, 0.004853248596191406
