round, client_id, loss, acc, t_train, tx_bytes, t_delay 
1,2,1.8478024005889893,0.4244259595870971,605.4046363830566,48820846,0.9566400051116944
1,3,1.942409873008728,0.4235222041606903,569.397435426712,48820846,4.102032184600837
2,3,1.448046088218689,0.5172122716903687,622.3637611865997,48820846,5.1621701717376745
2,0,1.3977042436599731,0.5486910343170166,423.5977623462677,48820846,3.3021228313446045
2,2,1.328811526298523,0.5484192967414856,646.8905408382416,48820846,1.0189642906188965
2,1,1.653060793876648,0.4379876852035522,430.811491727829,48820846,1.8988749980926514
3,2,1.0518581867218018,0.6434608697891235,666.2768912315369,48820846,1.0107619762420654
3,1,1.320960283279419,0.5435600876808167,440.41508984565735,48820846,1.3428220748901367
3,3,1.1277803182601929,0.6167292594909668,622.3884341716766,48820846,3.514566659927368
4,3,0.9438847303390504,0.6765314936637878,622.3511941432953,48820846,5.226782083511409
4,1,1.1526384353637695,0.5910217761993408,443.4233205318451,48820846,3.391665458679199
4,2,0.8829021453857422,0.7003660798072815,1076.853271484375,48820846,0.9587585926055908
5,3,0.8547542691230774,0.7114927768707275,562.3521792888641,48820846,2.4274682998657227
5,2,0.7632344961166382,0.7406322956085205,1102.8885748386383,48820846,1.0714373588562012
5,1,0.99961519241333,0.6471128463745117,442.2901442050934,48820846,2.417024850845337
6,3,0.8001072406768799,0.7269033193588257,544.5948030948639,48820846,1.308490514755249
6,1,0.9285287857055664,0.6761223077774048,442.2827444076538,48820846,2.7658846378326416
6,2,0.7093434929847717,0.7582029700279236,1102.6269257068634,48820846,1.0196363925933838
