round, client_id, loss, acc, t_train, tx_bytes, t_delay 
1,1,0.7226958870887756,0.7896329760551453,2.009643793106079,244016080,33.758559226989746
1,2,0.6116584539413452,0.8219390511512756,2.555464029312134,244027617,33.49048042297363
2,1,0.3179477155208587,0.909909188747406,0.7409460544586182,244018821,65.80744814872742
2,0,0.5034013390541077,0.8507915139198303,1.9194204807281492,244022246,54.85849523544311
2,3,0.4659172892570495,0.8668382167816162,2.2787346839904785,244019841,55.28795647621155
2,2,0.2891252934932709,0.9150692224502563,1.0336239337921145,244021948,49.746280908584595
3,3,0.2253226041793823,0.9355419874191284,0.8953683376312256,244028466,56.62399888038635
3,2,0.2261701375246048,0.9345152378082277,1.036083459854126,244029703,61.561197996139526
3,1,0.2484858930110931,0.9296966195106506,0.7328529357910156,244019611,69.25583171844482
3,0,0.2654261589050293,0.921881914138794,0.776073694229126,244026276,67.40825080871582
4,3,0.1788849383592605,0.948986828327179,0.8930590152740479,244014707,54.138068199157715
4,0,0.2064035534858703,0.9408196210861206,0.7972671985626221,244019657,60.42331004142761
4,1,0.2038574069738388,0.939629077911377,0.7369284629821777,244026172,65.81305766105652
4,2,0.1913131475448608,0.9445429444313048,1.0422940254211426,244021460,61.686532497406006
5,0,0.1721124202013015,0.950362503528595,0.7980043888092041,244016354,62.99400734901428
5,2,0.1575134545564651,0.9538503885269164,1.046621322631836,244017225,64.84618473052979
5,3,0.1509494036436081,0.95734965801239,0.8863883018493652,244021613,56.26730227470398
5,1,0.1759565770626068,0.9504151344299316,0.7361812591552734,244012165,64.44207072257996
6,1,0.1536664366722107,0.956933319568634,0.7413651943206787,244016107,64.46426463127136
6,0,0.1465141326189041,0.958499789237976,0.8031573295593262,244025183,62.84879231452942
6,3,0.1299251019954681,0.9624316692352296,0.894350528717041,244022776,49.458189487457275
6,2,0.1373562812805175,0.9595013856887816,1.0385043621063232,244013852,72.33676791191101
7,3,0.1120123267173767,0.9681569933891296,0.8915424346923828,244027590,54.404479026794434
7,0,0.1261377781629562,0.9630862474441528,0.793689489364624,244020470,52.64444923400879
7,1,0.1390918791294098,0.9594940543174744,0.7383761405944824,244018294,56.599234104156494
7,2,0.122044138610363,0.9636011123657228,1.029573917388916,244020847,69.97948026657104
8,3,0.099245399236679,0.9722740650177002,0.9131548404693604,244018254,43.73427176475525
8,0,0.1085136756300926,0.9697440266609192,0.7803258895874023,244014998,58.19699263572693
8,2,0.1090520247817039,0.9685872793197632,1.0498886108398438,244019357,69.42860007286072
8,1,0.119859404861927,0.9657018780708312,0.7535426616668701,244023542,55.49018907546997
9,0,0.0975052490830421,0.9715194702148438,0.8061349391937256,244024266,66.41419982910156
9,2,0.1005017161369323,0.9704155325889589,1.0350241661071775,244032676,62.19440269470215
9,3,0.0868159085512161,0.975426197052002,0.8963842391967773,244018058,57.632373571395874
9,1,0.1089564859867096,0.9685729742050172,0.7486543655395508,244016975,51.16991662979126
10,2,0.0868104919791221,0.9758448600769044,1.0213475227355957,244017990,49.35911822319031
10,3,0.0755157768726348,0.9774203896522522,0.8873636722564697,244013882,52.6664822101593
10,1,0.0975378826260566,0.9726080298423768,0.7469539642333984,244016550,72.90315818786621
10,0,0.0867944210767746,0.9744784832000732,0.8053023815155029,244019537,67.74825882911682
11,2,0.0788563564419746,0.9761219024658204,1.0440757274627686,244017718,52.271602630615234
11,1,0.0884201973676681,0.9755567908287048,0.7526021003723145,244022146,59.96640658378602
11,3,0.0686251670122146,0.9805082082748412,0.9082627296447754,244016412,59.674424171447754
12,0,0.4278188645839691,0.8687675595283508,1.9316153526306152,244010016,58.96276211738586
12,3,0.0609327778220176,0.9816661477088928,0.909597635269165,244024887,60.61774969100952
12,2,0.070360817015171,0.9797784090042114,1.0300002098083496,244017251,54.71883797645569
12,1,0.0783056020736694,0.9784278869628906,0.7490792274475098,244026629,71.40255045890808
13,2,0.0651738792657852,0.9803324341773988,1.026028394699097,244015509,56.11406850814819
13,3,0.0552035942673683,0.984625279903412,0.9074785709381104,244017323,66.07815885543823
13,1,0.0720394626259803,0.9801350235939026,0.7483978271484375,244014998,61.271448135375984
14,3,0.0479935221374034,0.9855902194976808,0.9054238796234132,244017356,65.88185119628906
14,1,0.0665327310562133,0.981376588344574,0.746253252029419,244030984,60.13459062576294
14,0,0.4319504201412201,0.866992175579071,1.8973405361175537,244018942,66.06325554847717
