round, cid, loss, accuracy, decyfer_time
1, 8, 3.7977044582366943, 0.18000000715255737, 0.002351045608520508
1, 2, 3.761704683303833, 0.1809999942779541, 0.0024390220642089844
1, 3, 3.8597495555877686, 0.1860000044107437, 0.00792384147644043
1, 1, 3.8371379375457764, 0.17399999499320984, 0.007875919342041016
1, 6, 3.7695276737213135, 0.18400000035762787, 0.0073931217193603516
1, 0, 3.7379157543182373, 0.1720000058412552, 0.006461381912231445
1, 9, 3.7664175033569336, 0.19099999964237213, 0.007336854934692383
1, 7, 3.937237024307251, 0.17000000178813934, 0.008612394332885742
1, 4, 3.7777175903320312, 0.19300000369548798, 0.008141279220581055
1, 5, 3.9434149265289307, 0.164000004529953, 0.00803995132446289
2, 7, 1.0529369115829468, 0.6330000162124634, 0.0019652843475341797
2, 9, 1.09774649143219, 0.6050000190734863, 0.0017888545989990234
2, 6, 1.0795241594314575, 0.6110000014305115, 0.001990795135498047
2, 2, 1.0872029066085815, 0.6150000095367432, 0.0023796558380126953
2, 4, 0.9990017414093018, 0.6430000066757202, 0.002171039581298828
2, 5, 1.0257141590118408, 0.621999979019165, 0.0026078224182128906
2, 3, 1.0365608930587769, 0.6060000061988831, 0.003125905990600586
2, 0, 1.0392329692840576, 0.6269999742507935, 0.0026056766510009766
2, 8, 1.0684113502502441, 0.6150000095367432, 0.002518177032470703
2, 1, 1.0854417085647583, 0.6129999756813049, 0.002318859100341797
3, 5, 1.0450353622436523, 0.6769999861717224, 0.002893686294555664
3, 1, 1.1120946407318115, 0.6710000038146973, 0.0018887519836425781
3, 6, 1.1077070236206055, 0.6729999780654907, 0.0025670528411865234
3, 7, 1.0598496198654175, 0.6850000023841858, 0.0022056102752685547
3, 3, 1.0567171573638916, 0.6650000214576721, 0.0025882720947265625
3, 9, 1.1969982385635376, 0.6370000243186951, 0.0024747848510742188
3, 0, 1.0349892377853394, 0.6779999732971191, 0.002510547637939453
3, 4, 1.013683557510376, 0.6769999861717224, 0.0025207996368408203
3, 2, 1.0686041116714478, 0.6740000247955322, 0.002480030059814453
3, 8, 1.164478063583374, 0.6399999856948853, 0.0026848316192626953
4, 7, 0.7850178480148315, 0.7429999709129333, 0.0022573471069335938
4, 8, 0.8605954647064209, 0.7170000076293945, 0.0022940635681152344
4, 4, 0.7310451865196228, 0.7559999823570251, 0.0024347305297851562
4, 0, 0.7757766842842102, 0.7549999952316284, 0.002551555633544922
4, 5, 0.7494456768035889, 0.7519999742507935, 0.002777576446533203
4, 3, 0.8005791306495667, 0.7279999852180481, 0.002214670181274414
4, 9, 0.8556898832321167, 0.7129999995231628, 0.002950429916381836
4, 1, 0.7630510926246643, 0.7429999709129333, 0.002553701400756836
4, 6, 0.7742086052894592, 0.7450000047683716, 0.0023567676544189453
4, 2, 0.8177462220191956, 0.7379999756813049, 0.002473592758178711
5, 0, 1.592952013015747, 0.656000018119812, 0.0027725696563720703
5, 4, 1.5979053974151611, 0.6660000085830688, 0.002392292022705078
5, 6, 1.6755876541137695, 0.6620000004768372, 0.0020568370819091797
5, 9, 1.8313500881195068, 0.6290000081062317, 0.0026679039001464844
5, 5, 1.5752174854278564, 0.6620000004768372, 0.0019102096557617188
5, 3, 1.6736640930175781, 0.6570000052452087, 0.0027709007263183594
5, 1, 1.6574130058288574, 0.6539999842643738, 0.002393007278442383
5, 7, 1.6151554584503174, 0.671999990940094, 0.0022172927856445312
5, 8, 1.7877919673919678, 0.6439999938011169, 0.002559185028076172
5, 2, 1.6471506357192993, 0.6620000004768372, 0.0032613277435302734
6, 8, 0.47146040201187134, 0.8510000109672546, 0.0018725395202636719
6, 1, 0.4251699447631836, 0.8709999918937683, 0.0023059844970703125
6, 5, 0.4507342278957367, 0.8690000176429749, 0.0021851062774658203
6, 7, 0.43913352489471436, 0.859000027179718, 0.0025403499603271484
6, 4, 0.4129484295845032, 0.878000020980835, 0.0031974315643310547
6, 3, 0.4140143394470215, 0.8659999966621399, 0.002603292465209961
6, 2, 0.4398440718650818, 0.8619999885559082, 0.0029985904693603516
6, 0, 0.4119645357131958, 0.8820000290870667, 0.0024077892303466797
6, 9, 0.4502219259738922, 0.8629999756813049, 0.0026235580444335938
6, 6, 0.4569780230522156, 0.8569999933242798, 0.0018105506896972656
7, 6, 0.2604062557220459, 0.9369999766349792, 0.002013683319091797
7, 4, 0.23303328454494476, 0.9330000281333923, 0.0023584365844726562
7, 0, 0.25631463527679443, 0.9419999718666077, 0.002533435821533203
7, 8, 0.2920880913734436, 0.9259999990463257, 0.002668619155883789
7, 3, 0.2482958436012268, 0.9390000104904175, 0.0025179386138916016
7, 7, 0.2587023675441742, 0.9359999895095825, 0.003159046173095703
7, 2, 0.27162304520606995, 0.9259999990463257, 0.0025572776794433594
7, 1, 0.270422101020813, 0.9319999814033508, 0.0025382041931152344
7, 5, 0.2821769118309021, 0.925000011920929, 0.002505779266357422
7, 9, 0.26010608673095703, 0.9309999942779541, 0.0023627281188964844
8, 7, 0.4168132543563843, 0.878000020980835, 0.002138853073120117
8, 4, 0.3650495707988739, 0.8820000290870667, 0.0019130706787109375
8, 0, 0.3863878846168518, 0.8709999918937683, 0.0022585391998291016
8, 9, 0.4702409505844116, 0.8500000238418579, 0.0024404525756835938
8, 2, 0.43025025725364685, 0.8529999852180481, 0.00266265869140625
8, 8, 0.4350322484970093, 0.8669999837875366, 0.002607583999633789
8, 3, 0.3805898427963257, 0.8859999775886536, 0.003033161163330078
8, 5, 0.4277091324329376, 0.8629999756813049, 0.002414226531982422
8, 1, 0.4481888711452484, 0.8629999756813049, 0.0024411678314208984
8, 6, 0.43669620156288147, 0.8579999804496765, 0.0034914016723632812
9, 0, 0.3351423144340515, 0.8960000276565552, 0.002999544143676758
9, 9, 0.3505982756614685, 0.8709999918937683, 0.0025866031646728516
9, 7, 0.35646650195121765, 0.8880000114440918, 0.0025827884674072266
9, 5, 0.30353209376335144, 0.8980000019073486, 0.0020847320556640625
9, 8, 0.3884890377521515, 0.871999979019165, 0.0027480125427246094
9, 3, 0.32469654083251953, 0.8809999823570251, 0.0031540393829345703
9, 2, 0.3406747579574585, 0.8880000114440918, 0.002702474594116211
9, 1, 0.31800562143325806, 0.890999972820282, 0.002384185791015625
9, 6, 0.3236103355884552, 0.8849999904632568, 0.002470731735229492
9, 4, 0.28365281224250793, 0.890999972820282, 0.0025653839111328125
10, 0, 0.5609347820281982, 0.8220000267028809, 0.0025026798248291016
10, 6, 0.6151573061943054, 0.7990000247955322, 0.0031707286834716797
10, 1, 0.5774840116500854, 0.8109999895095825, 0.0025086402893066406
10, 2, 0.6055808663368225, 0.8050000071525574, 0.002498149871826172
10, 9, 0.5851663947105408, 0.8050000071525574, 0.0016508102416992188
10, 7, 0.6403130292892456, 0.7990000247955322, 0.0023851394653320312
10, 8, 0.6221392750740051, 0.7940000295639038, 0.002414226531982422
