round, cid, loss, accuracy, decyfer_time
1, 2, 2.191802978515625, 0.28600001335144043, 0.04807257652282715
1, 7, 2.1783535480499268, 0.29600000381469727, 0.04766058921813965
1, 9, 2.1846938133239746, 0.2840000092983246, 0.050284385681152344
1, 1, 2.1788275241851807, 0.3009999990463257, 0.04381227493286133
1, 5, 2.1929516792297363, 0.2849999964237213, 0.04991960525512695
1, 4, 2.1467294692993164, 0.3310000002384186, 0.0468449592590332
1, 8, 2.1884446144104004, 0.27900001406669617, 0.04857897758483887
1, 0, 2.17366099357605, 0.2980000078678131, 0.04875826835632324
1, 6, 2.161846399307251, 0.30300000309944153, 0.05153489112854004
1, 3, 2.185696840286255, 0.2879999876022339, 0.05114936828613281
2, 4, 2.5097663402557373, 0.38600000739097595, 0.03668332099914551
2, 1, 2.710826873779297, 0.3529999852180481, 0.04299426078796387
2, 8, 2.680121421813965, 0.33799999952316284, 0.03879427909851074
2, 2, 2.713426113128662, 0.35100001096725464, 0.041784048080444336
2, 6, 2.6002273559570312, 0.375, 0.041452646255493164
2, 3, 2.6367156505584717, 0.3540000021457672, 0.04642891883850098
2, 7, 2.6582067012786865, 0.3479999899864197, 0.04121279716491699
2, 0, 2.6106276512145996, 0.36399999260902405, 0.03557157516479492
2, 9, 2.691460132598877, 0.35100001096725464, 0.03955507278442383
2, 5, 2.7102231979370117, 0.3409999907016754, 0.036858558654785156
3, 5, 1.8598740100860596, 0.3199999928474426, 0.04424619674682617
3, 0, 1.8318945169448853, 0.3089999854564667, 0.046897172927856445
3, 7, 1.8703091144561768, 0.30799999833106995, 0.04857206344604492
3, 3, 1.8813790082931519, 0.30399999022483826, 0.05476069450378418
3, 9, 1.9110850095748901, 0.3009999990463257, 0.047716617584228516
3, 1, 1.8492772579193115, 0.3230000138282776, 0.042365312576293945
3, 8, 1.8717073202133179, 0.3050000071525574, 0.052005767822265625
3, 4, 1.926812767982483, 0.2879999876022339, 0.0397946834564209
3, 6, 1.8144532442092896, 0.3240000009536743, 0.04073286056518555
3, 2, 1.8640785217285156, 0.3240000009536743, 0.030589818954467773
4, 2, 1.4486675262451172, 0.5149999856948853, 0.04568147659301758
4, 5, 1.402967929840088, 0.5400000214576721, 0.043283939361572266
4, 0, 1.3897043466567993, 0.5419999957084656, 0.051532745361328125
4, 9, 1.4247268438339233, 0.5120000243186951, 0.045395851135253906
4, 1, 1.439223289489746, 0.5220000147819519, 0.033754825592041016
